Cycle, PBS ID, CYLC_BATCH_SYS_JOB_SUBMIT_TIME, CYLC_JOB_INIT_TIME, CYLC_JOB_EXIT_TIME
19790301T0000Z, 238036, 2021-05-02T08:14:05Z, 2021-05-02T08:14:11Z, 2021-05-02T15:38:30Z
19790401T0000Z, 238391, 2021-05-02T18:30:24Z, 2021-05-02T18:30:27Z, 2021-05-03T01:50:31Z
19790501T0000Z, 238662, 2021-05-03T01:51:30Z, 2021-05-03T01:51:35Z, 2021-05-03T09:20:04Z
19790601T0000Z, 238854, 2021-05-03T09:22:33Z, 2021-05-03T09:22:36Z, 2021-05-03T17:08:30Z
19790701T0000Z, 239847, 2021-05-03T17:08:43Z, 2021-05-03T17:24:30Z, 2021-05-04T00:56:26Z
19790801T0000Z, 240342, 2021-05-04T00:59:57Z, 2021-05-04T01:00:02Z, 2021-05-04T10:36:07Z
19790901T0000Z, 240989, 2021-05-04T10:54:57Z, 2021-05-04T15:51:19Z, 2021-05-04T19:14:08Z
19790901T0000Z, 244681, 2021-05-05T20:02:43Z, 2021-05-05T21:08:09Z, 2021-05-06T06:10:19Z
19791001T0000Z, 245347, 2021-05-06T06:14:26Z, 2021-05-06T22:14:58Z, 2021-05-07T05:52:50Z
19791101T0000Z, 247609, 2021-05-07T05:57:35Z, 2021-05-07T06:20:11Z, 2021-05-07T14:12:27Z
19791201T0000Z, 249012, 2021-05-07T14:13:51Z, 2021-05-07T17:20:59Z, 2021-05-08T01:26:57Z
19800101T0000Z, 250283, 2021-05-08T01:30:42Z, 2021-05-08T04:57:30Z, 2021-05-08T12:34:25Z
19800201T0000Z, 250872, 2021-05-08T12:38:11Z, 2021-05-08T13:01:34Z, 2021-05-08T20:29:03Z
